company,year,tokens
grand city properties sa,2019,86887
grand city properties sa,2020,92555
grand city properties sa,2021,95031
grand city properties sa,2022,94171
grand city properties sa,2023,140092
grenke ag,2014,137203
grenke ag,2015,146527
grenke ag,2016,129936
grenke ag,2017,165928
grenke ag,2018,186957
grenke ag,2019,171708
grenke ag,2020,218178
grenke ag,2021,281670
grenke ag,2022,305813
grenke ag,2023,319763
hamborner reit ag,2014,67163
hamborner reit ag,2015,69346
hamborner reit ag,2016,71071
hamborner reit ag,2017,75785
hamborner reit ag,2018,76759
hamborner reit ag,2019,77715
hamborner reit ag,2020,92583
